学校,考试方式,院系所,专业,学习方式,研究方向,指导教师,拟招生人数,课1,课2,课3,课4
(10422)山东大学,统考,(044)控制科学与工程学院,(083100)生物医学工程,全日制,(01)生物医学信息检测分析与远程传输,,专业：4(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(921)数字信号处理                 
(10422)山东大学,统考,(044)控制科学与工程学院,(083100)生物医学工程,全日制,(02)现代医学仪器,,专业：4(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(921)数字信号处理                 
(10422)山东大学,统考,(044)控制科学与工程学院,(083100)生物医学工程,全日制,(03)波谱学在医学中的应用,,专业：4(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(921)数字信号处理                 
(10422)山东大学,统考,(044)控制科学与工程学院,(083100)生物医学工程,全日制,(04)生物医学成像与图像处理,,专业：4(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(921)数字信号处理                 
(10422)山东大学,统考,(044)控制科学与工程学院,(083100)生物医学工程,全日制,(05)生物系统建模与仿真,,专业：4(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(921)数字信号处理                 
(10439)山东第一医科大学,统考,(000)不区分院系所,(083100)生物医学工程,全日制,(01)医学成像和图像分析,,专业：9(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)信号与系统                 
(10439)山东第一医科大学,统考,(000)不区分院系所,(083100)生物医学工程,全日制,(02)神经影像与神经调节,,专业：9(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)信号与系统                 
(10439)山东第一医科大学,统考,(000)不区分院系所,(083100)生物医学工程,全日制,(03)医学人工智能与大数据,,专业：9(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)信号与系统                 
(10439)山东第一医科大学,统考,(000)不区分院系所,(083100)生物医学工程,全日制,(04)医学物理,,专业：9(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)信号与系统                 
(10439)山东第一医科大学,统考,(000)不区分院系所,(083100)生物医学工程,全日制,(05)生物医学材料与组织工程,,专业：9(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)信号与系统                 
(10439)山东第一医科大学,统考,(000)不区分院系所,(083100)生物医学工程,全日制,(06)多组学分析与分子调控,,专业：9(不含推免),                (101)思想政治理论                ,(201)英语（一）                 ,(301)数学（一）                 ,(803)信号与系统                 
